Spanish,English
que,what
de,of
no,no
a,a
la,the
el,he
es,is
y,and
en,in
lo,it
un,and
por,by
qué,that
me,me
una,a
te,the
los,the
se,with
con,with
para,to
mi,me
está,this
si,and
bien,GOOD
pero,but
yo,them
eso,that
las,the
sí,Yeah
su,are
tu,there
aquí,here
del,of the
al,al
como,as
le,the
más,further
esto,this
ya,of
todo,all
esta,this
vamos,let's
muy,very
hay,good
ahora,now
algo,something
estoy,I'm
tengo,I have
nos,us
tú,you
nada,nothing
cuando,when
ha,ha
este,is
sé,see
estás,are
así,So
puedo,I can
cómo,as
quiero,wanna
sólo,only
soy,soy
tiene,has
gracias,thank you
o,the
él,he
bueno,Well
fue,was
ser,to be
hacer,do
son,son
todos,all
era,era
eres,are
vez,time
tienes,have
creo,believe
ella,she
he,he
ese,that
voy,go
puede,can
sabes,You know
hola,hello
sus,their
porque,why
dios,God
quién,who
nunca,never
dónde,where
quieres,want
casa,home
favor,favor
esa,that
dos,of the
tan,tan
señor,Sir
tiempo,time
verdad,TRUE
estaba,was
mejor,better
están,are
va,and
hombre,man
usted,you
mucho,a lot
hace,does
entonces,so
siento,I feel
tenemos,have
puedes,can
ahí,there
ti,of
vida,life
ver,see
alguien,someone
sr,sr
hasta,until
sin,sin
mí,my
solo,Alone
años,years
sobre,on
decir,say
uno,a
siempre,always
oh,oh
ir,and
cosas,things
también,also
antes,before
has,has
ni,in
mis,what
día,day
estar,be
estamos,we are
noche,evening
nadie,nobody
otra,other
quiere,wants
parece,it seems
nosotros,us
poco,bit
padre,father
trabajo,job
gente,people
mira,mira
vas,your
sea,sea
les,THE
donde,where
mismo,same
hecho,made
ellos,they
dijo,said
pasa,happens
dinero,money
hijo,son
tal,of
otro,other
hablar,talk
seguro,insurance
claro,Of course
estas,is
lugar,place
mundo,world
amigo,friend
espera,wait
mierda,shit
han,he
tus,the
sabe,he knows
después,after
momento,moment
desde,from
fuera,out
cosa,What
tipo,type
mañana,tomorrow
podemos,we can
dije,said
gran,great
necesito,need
estado,state
podría,could
acuerdo,agreement
papá,dad
tener,have
dice,dice
mío,mine
crees,do you think
buena,good
gusta,like
nuestro,our
nuevo,new
será,it will be
haciendo,doing
días,days
nombre,name
buen,good
había,there was
ven,ven
tres,three
menos,less
debe,has to
tenía,had
mal,just
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mother
tienen,have
luego,then
todas,all
allí,over there
toda,all
hora,time
mujer,women
visto,view
haces,you do
importa,matters
contigo,with you
ve,ve
tarde,late
oye,understand
parte,part
haber,have
hombres,men
problema,problem
mas,but
saber,to know
quería,wanted to
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,those
veo,I see
tanto,both
razón,reason
ustedes,you
idea,idea
esos,those
van,by
quizá,perhaps
debo,I must
alguna,some
cierto,TRUE
ud,out
muerto,dead
unos,some
estos,these
salir,go out
policía,police
realmente,really
demasiado,too much
